name,gender,language
Margot,F,en
Kylee,F,en
Phoenix,F,en
Heidi,F,en
Zuri,F,en
Alondra,F,en
Lana,F,en
Madeleine,F,en
Gracelynn,F,en
Kenzie,F,en
Miracle,F,en
Shelby,F,en
Elle,F,en
Adrianna,F,en
Bianca,F,en
Addilyn,F,en
Kira,F,en
Veronica,F,en
Gwendolyn,F,en
Esmeralda,F,en
Chelsea,F,en
Alison,F,en
Skyler,F,en
Magnolia,F,en
Daphne,F,en
Jenna,F,en
Everleigh,F,en
Kyla,F,en
Braelynn,F,en
Harlow,F,en
Annalise,F,en
Mikayla,F,en
Dahlia,F,en
Maliyah,F,en
Averie,F,en
Scarlet,F,en
Kayleigh,F,en
Luciana,F,en
Kelsey,F,en
Nadia,F,en
Amber,F,en
Gia,F,en
Kamryn,F,en
Yaretzi,F,en
Carmen,F,en
Jimena,F,en
Erin,F,en
Christina,F,en
Katie,F,en
Ryan,F,en
Viviana,F,en
Alexia,F,en
Anaya,F,en
Serena,F,en
Katelyn,F,en
Ophelia,F,en
Regina,F,en
Helen,F,en
Remington,F,en
Camryn,F,en
Cadence,F,en
Royalty,F,en
Amari,F,en
Kathryn,F,en
Skye,F,en
Emely,F,en
Jada,F,en
Ariyah,F,en
Aylin,F,en
Saylor,F,en
Kendra,F,en
Cheyenne,F,en
Fernanda,F,en
Sabrina,F,en
Francesca,F,en
Eve,F,en
Mckinley,F,en
Frances,F,en
Sarai,F,en
Carolina,F,en
Kennedi,F,en
Nylah,F,en
Tatum,F,en
Alani,F,en
Lennon,F,en
Raven,F,en
Zariah,F,en
Leslie,F,en
Winter,F,en
Abby,F,en
Mabel,F,en
Sierra,F,en
April,F,en
Willa,F,en
Carly,F,en
Jolene,F,en
Rosemary,F,en
Aviana,F,en
Madelynn,F,en
Selah,F,en
Renata,F,en
Lorelei,F,en
Briana,F,en
Celeste,F,en
Wren,F,en
Charleigh,F,en
Leighton,F,en
Annabella,F,en
Jayleen,F,en
Braelyn,F,en
Ashlyn,F,en
Jazlyn,F,en
Mira,F,en
Oakley,F,en
Malaysia,F,en
Edith,F,en
Avianna,F,en
Maryam,F,en
Emmalyn,F,en
Hattie,F,en
Kensley,F,en
Macie,F,en
Bristol,F,en
Marlee,F,en
Demi,F,en
Cataleya,F,en
Maia,F,en
Sylvia,F,en
Itzel,F,en
Allyson,F,en
Lilith,F,en
Melany,F,en
Kaydence,F,en
Holly,F,en
Nayeli,F,en
Meredith,F,en
Nia,F,en
Liana,F,en
Megan,F,en
Justice,F,en
Bethany,F,en
Alejandra,F,en
Janelle,F,en
Elisa,F,en
Adelina,F,en
Ashlynn,F,en
Elianna,F,en
Aleah,F,en
Myra,F,en
Lainey,F,en
Blair,F,en
Kassidy,F,en
Charley,F,en
Virginia,F,en
Kara,F,en
Helena,F,en
Sasha,F,en
Julie,F,en
Michaela,F,en
Carter,F,en
Matilda,F,en
Kehlani,F,en
Henley,F,en
Maisie,F,en
Hallie,F,en
Jazmin,F,en
Priscilla,F,en
Marilyn,F,en
Cecelia,F,en
Danna,F,en
Colette,F,en
Baylee,F,en
Elliott,F,en
Ivanna,F,en
Cameron,F,en
Celine,F,en
Alayah,F,en
Hanna,F,en
Imani,F,en
Angelica,F,en
Emelia,F,en
Kalani,F,en
Alanna,F,en
Lorelai,F,en
Macy,F,en
Karina,F,en
Addyson,F,en
Aleena,F,en
Aisha,F,en
Johanna,F,en
Mallory,F,en
Leona,F,en
Mariam,F,en
Kynlee,F,en
Madilynn,F,en
Karen,F,en
Karla,F,en
Skyla,F,en
Beatrice,F,en
Dayana,F,en
Gloria,F,en
Milani,F,en
Savanna,F,en
Karsyn,F,en
Rory,F,en
